id,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,y
65,no,154,yes,no,unknown,5,may,357,1,-1,0,unknown,no
66,no,6530,yes,no,unknown,5,may,91,1,-1,0,unknown,no
67,no,100,no,no,unknown,5,may,528,1,-1,0,unknown,no
68,no,59,yes,no,unknown,5,may,273,1,-1,0,unknown,no
69,no,1205,yes,no,unknown,5,may,158,2,-1,0,unknown,no
70,no,12223,yes,yes,unknown,5,may,177,1,-1,0,unknown,no
71,no,5935,yes,yes,unknown,5,may,258,1,-1,0,unknown,no
72,no,25,yes,yes,unknown,5,may,172,1,-1,0,unknown,no
73,no,282,yes,yes,unknown,5,may,154,1,-1,0,unknown,no
74,no,23,yes,no,unknown,5,may,291,1,-1,0,unknown,no
75,no,1937,yes,no,unknown,5,may,181,1,-1,0,unknown,no
76,no,384,yes,no,unknown,5,may,176,1,-1,0,unknown,no
77,no,582,no,yes,unknown,5,may,211,1,-1,0,unknown,no
78,no,91,no,no,unknown,5,may,349,1,-1,0,unknown,no
79,no,0,yes,yes,unknown,5,may,272,1,-1,0,unknown,no
80,yes,1,yes,no,unknown,5,may,208,1,-1,0,unknown,no
81,no,206,yes,no,unknown,5,may,193,1,-1,0,unknown,no
82,no,164,no,no,unknown,5,may,212,1,-1,0,unknown,no
83,no,690,yes,no,unknown,5,may,20,1,-1,0,unknown,no
84,no,2343,yes,no,unknown,5,may,1042,1,-1,0,unknown,yes
85,no,137,yes,yes,unknown,5,may,246,1,-1,0,unknown,no
86,no,173,yes,no,unknown,5,may,529,2,-1,0,unknown,no
87,no,45,no,no,unknown,5,may,1467,1,-1,0,unknown,yes
88,no,1270,yes,no,unknown,5,may,1389,1,-1,0,unknown,yes
89,no,16,yes,yes,unknown,5,may,188,2,-1,0,unknown,no
90,no,486,yes,no,unknown,5,may,180,2,-1,0,unknown,no
91,no,50,no,no,unknown,5,may,48,1,-1,0,unknown,no
92,no,152,yes,yes,unknown,5,may,213,2,-1,0,unknown,no
93,no,290,yes,no,unknown,5,may,583,1,-1,0,unknown,no
94,no,54,yes,no,unknown,5,may,221,1,-1,0,unknown,no
95,no,-37,no,no,unknown,5,may,173,1,-1,0,unknown,no
96,no,101,yes,yes,unknown,5,may,426,1,-1,0,unknown,no
97,no,383,no,no,unknown,5,may,287,1,-1,0,unknown,no
98,no,81,yes,no,unknown,5,may,101,1,-1,0,unknown,no
99,no,0,yes,no,unknown,5,may,203,1,-1,0,unknown,no
100,no,229,yes,no,unknown,5,may,197,1,-1,0,unknown,no
101,no,-674,yes,no,unknown,5,may,257,1,-1,0,unknown,no
102,no,90,no,no,unknown,5,may,124,1,-1,0,unknown,no
103,no,128,yes,no,unknown,5,may,229,1,-1,0,unknown,no
104,no,179,yes,no,unknown,5,may,55,3,-1,0,unknown,no
105,no,0,yes,no,unknown,5,may,400,1,-1,0,unknown,no
106,no,54,yes,no,unknown,5,may,197,1,-1,0,unknown,no
107,no,151,yes,no,unknown,5,may,190,1,-1,0,unknown,no
108,no,61,no,yes,unknown,5,may,21,1,-1,0,unknown,no
109,no,30,yes,no,unknown,5,may,514,1,-1,0,unknown,no
110,no,523,yes,no,unknown,5,may,849,2,-1,0,unknown,no
111,no,31,yes,no,unknown,5,may,194,1,-1,0,unknown,no
112,no,79,no,no,unknown,5,may,144,1,-1,0,unknown,no
113,no,-34,yes,yes,unknown,5,may,212,2,-1,0,unknown,no
114,no,448,yes,no,unknown,5,may,286,1,-1,0,unknown,no
115,no,81,yes,no,unknown,5,may,107,1,-1,0,unknown,no
116,no,144,yes,no,unknown,5,may,247,2,-1,0,unknown,no
117,no,351,yes,no,unknown,5,may,518,1,-1,0,unknown,no
118,no,-67,yes,no,unknown,5,may,364,1,-1,0,unknown,no
119,no,262,no,no,unknown,5,may,178,1,-1,0,unknown,no
120,no,0,no,no,unknown,5,may,98,1,-1,0,unknown,no
121,no,56,yes,no,unknown,5,may,439,1,-1,0,unknown,no
122,no,26,yes,no,unknown,5,may,79,1,-1,0,unknown,no
123,no,3,yes,no,unknown,5,may,120,3,-1,0,unknown,no
124,no,41,yes,yes,unknown,5,may,127,2,-1,0,unknown,no
125,no,7,no,yes,unknown,5,may,175,1,-1,0,unknown,no
126,no,105,yes,no,unknown,5,may,262,2,-1,0,unknown,no
127,no,818,yes,yes,unknown,5,may,61,1,-1,0,unknown,no
128,no,-16,yes,yes,unknown,5,may,78,1,-1,0,unknown,no
129,no,0,yes,no,unknown,5,may,143,1,-1,0,unknown,no
130,no,2476,yes,no,unknown,5,may,579,1,-1,0,unknown,yes
131,no,1185,no,no,unknown,5,may,677,1,-1,0,unknown,no
132,no,217,yes,no,unknown,5,may,345,1,-1,0,unknown,no
133,no,1685,yes,no,unknown,5,may,185,1,-1,0,unknown,no
134,no,802,yes,yes,unknown,5,may,100,2,-1,0,unknown,no
135,no,0,yes,no,unknown,5,may,125,2,-1,0,unknown,no
136,no,94,yes,no,unknown,5,may,193,1,-1,0,unknown,no
137,no,0,yes,no,unknown,5,may,136,1,-1,0,unknown,no
138,no,0,no,no,unknown,5,may,73,1,-1,0,unknown,no
139,no,517,yes,no,unknown,5,may,528,1,-1,0,unknown,no
140,no,265,yes,no,unknown,5,may,541,1,-1,0,unknown,no
141,no,947,yes,no,unknown,5,may,163,1,-1,0,unknown,no
142,no,3,yes,no,unknown,5,may,301,1,-1,0,unknown,no
143,no,42,no,no,unknown,5,may,46,1,-1,0,unknown,no
144,no,37,yes,no,unknown,5,may,204,1,-1,0,unknown,no
145,no,57,yes,no,unknown,5,may,98,1,-1,0,unknown,no
146,no,22,yes,no,unknown,5,may,71,1,-1,0,unknown,no
147,no,8,yes,no,unknown,5,may,157,2,-1,0,unknown,no
148,no,293,yes,no,unknown,5,may,243,1,-1,0,unknown,no
149,no,3,yes,no,unknown,5,may,186,2,-1,0,unknown,no
150,no,348,yes,no,unknown,5,may,579,2,-1,0,unknown,no
151,no,-19,yes,no,unknown,5,may,163,2,-1,0,unknown,no
152,no,0,yes,no,unknown,5,may,610,2,-1,0,unknown,no
153,no,-4,yes,no,unknown,5,may,2033,1,-1,0,unknown,no
154,no,18,yes,no,unknown,5,may,85,1,-1,0,unknown,no
155,no,139,no,no,unknown,5,may,114,2,-1,0,unknown,no
156,no,0,yes,no,unknown,5,may,114,2,-1,0,unknown,no
157,no,1883,yes,no,unknown,5,may,57,1,-1,0,unknown,no
158,no,216,yes,no,unknown,5,may,238,1,-1,0,unknown,no
159,no,782,yes,no,unknown,5,may,93,3,-1,0,unknown,no
160,no,904,yes,no,unknown,5,may,128,2,-1,0,unknown,no
161,no,1705,yes,no,unknown,5,may,107,1,-1,0,unknown,no
162,no,47,yes,no,unknown,5,may,181,1,-1,0,unknown,no
163,no,176,yes,no,unknown,5,may,303,2,-1,0,unknown,no
164,no,1225,yes,no,unknown,5,may,558,5,-1,0,unknown,no
165,no,86,yes,no,unknown,5,may,270,1,-1,0,unknown,no
166,no,82,yes,no,unknown,5,may,228,1,-1,0,unknown,no
167,no,271,yes,no,unknown,5,may,99,1,-1,0,unknown,no
168,no,1378,yes,no,unknown,5,may,240,1,-1,0,unknown,no
169,no,184,no,no,unknown,5,may,673,2,-1,0,unknown,yes
170,no,0,no,no,unknown,5,may,233,3,-1,0,unknown,no
171,no,0,yes,no,unknown,5,may,1056,1,-1,0,unknown,no
172,no,1357,yes,yes,unknown,5,may,250,1,-1,0,unknown,no
173,no,19,yes,no,unknown,5,may,252,1,-1,0,unknown,no
174,no,434,no,no,unknown,5,may,138,1,-1,0,unknown,no
175,no,92,yes,no,unknown,5,may,130,1,-1,0,unknown,no
176,no,1151,yes,no,unknown,5,may,412,1,-1,0,unknown,no
177,no,41,yes,no,unknown,5,may,179,2,-1,0,unknown,no
178,no,51,yes,no,unknown,5,may,19,2,-1,0,unknown,no
179,no,214,yes,no,unknown,5,may,458,2,-1,0,unknown,no
180,no,1161,yes,no,unknown,5,may,717,1,-1,0,unknown,no
181,no,37,yes,no,unknown,5,may,313,1,-1,0,unknown,no
182,no,787,yes,no,unknown,5,may,683,2,-1,0,unknown,no
183,no,59,yes,no,unknown,5,may,1077,1,-1,0,unknown,no
184,no,253,yes,no,unknown,5,may,416,1,-1,0,unknown,no
185,no,211,yes,no,unknown,5,may,146,2,-1,0,unknown,no
186,no,235,yes,no,unknown,5,may,167,1,-1,0,unknown,no
187,no,4384,yes,no,unknown,5,may,315,1,-1,0,unknown,no
188,no,4080,no,no,unknown,5,may,140,1,-1,0,unknown,no
189,no,53,yes,yes,unknown,5,may,346,1,-1,0,unknown,no
190,no,0,yes,no,unknown,5,may,562,1,-1,0,unknown,no
191,no,2127,yes,no,unknown,5,may,172,1,-1,0,unknown,no
192,no,377,yes,no,unknown,5,may,217,1,-1,0,unknown,no
193,no,73,yes,no,unknown,5,may,142,2,-1,0,unknown,no
194,no,445,yes,no,unknown,5,may,67,1,-1,0,unknown,no
195,no,243,yes,no,unknown,5,may,291,1,-1,0,unknown,no
196,no,307,yes,no,unknown,5,may,309,2,-1,0,unknown,no
197,no,155,yes,no,unknown,5,may,248,1,-1,0,unknown,no
198,no,173,no,yes,unknown,5,may,98,1,-1,0,unknown,no
199,no,400,yes,no,unknown,5,may,256,1,-1,0,unknown,no
200,no,1428,yes,no,unknown,5,may,82,2,-1,0,unknown,no
201,no,219,yes,no,unknown,5,may,577,1,-1,0,unknown,no
202,no,7,yes,no,unknown,5,may,286,1,-1,0,unknown,no
203,no,575,yes,no,unknown,5,may,477,1,-1,0,unknown,no
204,no,298,yes,no,unknown,5,may,611,2,-1,0,unknown,no
205,no,0,yes,no,unknown,5,may,471,1,-1,0,unknown,no
206,no,5699,yes,no,unknown,5,may,381,2,-1,0,unknown,no
207,no,176,yes,yes,unknown,5,may,42,1,-1,0,unknown,no
208,no,517,yes,no,unknown,5,may,251,1,-1,0,unknown,no
209,no,257,yes,no,unknown,5,may,408,1,-1,0,unknown,no
210,no,56,yes,no,unknown,5,may,215,1,-1,0,unknown,no
211,no,-390,yes,no,unknown,5,may,287,1,-1,0,unknown,no
212,no,330,yes,no,unknown,5,may,216,2,-1,0,unknown,no
213,no,195,no,no,unknown,5,may,366,2,-1,0,unknown,no
214,no,301,yes,no,unknown,5,may,210,1,-1,0,unknown,no
215,no,-41,yes,no,unknown,5,may,288,1,-1,0,unknown,no
216,no,483,yes,no,unknown,5,may,168,1,-1,0,unknown,no
217,no,28,no,no,unknown,5,may,338,2,-1,0,unknown,no
218,no,13,no,no,unknown,5,may,410,3,-1,0,unknown,no
219,no,965,no,no,unknown,5,may,177,1,-1,0,unknown,no
220,no,378,yes,yes,unknown,5,may,127,2,-1,0,unknown,no
221,no,219,yes,no,unknown,5,may,357,1,-1,0,unknown,no
222,no,324,yes,no,unknown,5,may,175,1,-1,0,unknown,no
223,no,-69,yes,no,unknown,5,may,300,1,-1,0,unknown,no
224,no,0,no,yes,unknown,5,may,136,1,-1,0,unknown,no
225,no,205,yes,no,unknown,5,may,1419,1,-1,0,unknown,no
226,no,278,yes,no,unknown,5,may,125,2,-1,0,unknown,no
227,no,1065,yes,no,unknown,5,may,213,3,-1,0,unknown,no
228,no,34,yes,no,unknown,5,may,27,1,-1,0,unknown,no
229,no,1033,no,no,unknown,5,may,238,2,-1,0,unknown,no
230,no,1467,yes,no,unknown,5,may,124,1,-1,0,unknown,no
231,no,-12,yes,no,unknown,5,may,18,1,-1,0,unknown,no
232,no,388,yes,no,unknown,5,may,730,2,-1,0,unknown,no
233,no,294,yes,no,unknown,5,may,746,2,-1,0,unknown,no
234,no,1827,no,no,unknown,5,may,121,1,-1,0,unknown,no
235,no,627,yes,no,unknown,5,may,247,1,-1,0,unknown,no
236,no,25,yes,no,unknown,5,may,40,1,-1,0,unknown,no
237,no,315,yes,no,unknown,5,may,181,2,-1,0,unknown,no
238,no,0,yes,no,unknown,5,may,79,1,-1,0,unknown,no
239,no,66,yes,no,unknown,5,may,206,1,-1,0,unknown,no
240,no,-9,yes,yes,unknown,5,may,389,1,-1,0,unknown,no
241,no,349,yes,yes,unknown,5,may,127,1,-1,0,unknown,no
242,no,100,yes,no,unknown,5,may,702,1,-1,0,unknown,no
243,no,0,no,no,unknown,5,may,151,1,-1,0,unknown,no
244,no,434,yes,no,unknown,5,may,117,1,-1,0,unknown,no
245,no,3237,yes,no,unknown,5,may,232,3,-1,0,unknown,no
246,no,275,no,no,unknown,5,may,408,2,-1,0,unknown,no
247,no,0,yes,no,unknown,5,may,179,2,-1,0,unknown,no
248,no,207,yes,no,unknown,5,may,39,1,-1,0,unknown,no
249,no,483,yes,no,unknown,5,may,282,1,-1,0,unknown,no
250,no,2248,yes,no,unknown,5,may,714,2,-1,0,unknown,no
251,no,428,yes,no,unknown,5,may,50,1,-1,0,unknown,no
252,no,0,yes,yes,unknown,5,may,181,1,-1,0,unknown,no
253,no,0,yes,no,unknown,5,may,142,1,-1,0,unknown,no
254,no,140,yes,no,unknown,5,may,227,1,-1,0,unknown,no
255,no,297,yes,no,unknown,5,may,119,1,-1,0,unknown,no
256,no,279,yes,no,unknown,5,may,361,1,-1,0,unknown,no
257,no,901,yes,no,unknown,5,may,73,3,-1,0,unknown,no
258,no,2573,yes,no,unknown,5,may,67,2,-1,0,unknown,no
259,no,143,yes,yes,unknown,5,may,350,1,-1,0,unknown,no
260,no,475,yes,no,unknown,5,may,332,2,-1,0,unknown,no
261,no,70,yes,no,unknown,5,may,611,2,-1,0,unknown,no
262,no,318,yes,no,unknown,5,may,113,2,-1,0,unknown,no
263,no,275,yes,no,unknown,5,may,132,1,-1,0,unknown,no
264,no,742,yes,no,unknown,5,may,58,3,-1,0,unknown,no
265,no,236,yes,no,unknown,5,may,151,1,-1,0,unknown,no
266,no,25,yes,no,unknown,5,may,89,2,-1,0,unknown,no
267,no,600,yes,no,unknown,5,may,152,1,-1,0,unknown,no
268,no,-349,yes,no,unknown,5,may,611,2,-1,0,unknown,no
269,no,183,yes,yes,unknown,5,may,110,2,-1,0,unknown,no
270,no,0,yes,no,unknown,5,may,463,1,-1,0,unknown,no
271,no,0,yes,yes,unknown,5,may,562,2,-1,0,unknown,yes
272,no,0,yes,no,unknown,5,may,962,1,-1,0,unknown,no
273,no,1078,yes,no,unknown,5,may,10,4,-1,0,unknown,no
274,no,155,no,no,unknown,5,may,118,3,-1,0,unknown,no
275,no,190,yes,no,unknown,5,may,92,2,-1,0,unknown,no
276,no,319,yes,no,unknown,5,may,143,3,-1,0,unknown,no
277,no,-185,yes,no,unknown,5,may,189,3,-1,0,unknown,no
278,no,47,no,no,unknown,5,may,234,2,-1,0,unknown,no
279,no,570,yes,no,unknown,5,may,75,2,-1,0,unknown,no
280,no,19,no,no,unknown,5,may,189,2,-1,0,unknown,no
281,no,61,yes,no,unknown,5,may,621,3,-1,0,unknown,no
282,no,-62,yes,yes,unknown,5,may,55,2,-1,0,unknown,no
283,no,258,no,no,unknown,5,may,310,4,-1,0,unknown,no
284,no,76,yes,no,unknown,5,may,156,2,-1,0,unknown,no
285,no,0,yes,no,unknown,5,may,5,2,-1,0,unknown,no
286,no,352,yes,no,unknown,5,may,225,2,-1,0,unknown,no
287,no,368,yes,no,unknown,5,may,125,2,-1,0,unknown,no
288,no,339,yes,no,unknown,5,may,2,3,-1,0,unknown,no
289,no,1331,yes,no,unknown,5,may,286,2,-1,0,unknown,no
290,no,672,yes,no,unknown,5,may,164,2,-1,0,unknown,no
291,no,58,yes,no,unknown,5,may,98,2,-1,0,unknown,no
292,no,447,yes,no,unknown,5,may,742,2,-1,0,unknown,no
293,no,423,yes,no,unknown,5,may,226,3,-1,0,unknown,no
294,no,0,no,no,unknown,5,may,120,2,-1,0,unknown,no
295,no,19,yes,no,unknown,5,may,362,4,-1,0,unknown,no
296,no,13,yes,no,unknown,5,may,357,2,-1,0,unknown,no
297,no,3,yes,no,unknown,5,may,200,2,-1,0,unknown,no
298,no,82,yes,no,unknown,5,may,204,2,-1,0,unknown,no
299,no,28,yes,no,unknown,5,may,126,3,-1,0,unknown,no
300,no,792,yes,no,unknown,5,may,65,2,-1,0,unknown,no
301,no,408,yes,no,unknown,5,may,107,2,-1,0,unknown,no
302,no,531,yes,no,unknown,5,may,267,2,-1,0,unknown,no
303,no,211,yes,no,unknown,5,may,248,2,-1,0,unknown,no
304,no,62,yes,no,unknown,5,may,215,2,-1,0,unknown,no
305,no,257,yes,no,unknown,5,may,209,2,-1,0,unknown,no
306,no,1234,yes,no,unknown,5,may,205,2,-1,0,unknown,no
307,no,313,yes,no,unknown,5,may,83,2,-1,0,unknown,no
308,no,89,yes,no,unknown,5,may,106,3,-1,0,unknown,no
309,no,129,yes,yes,unknown,5,may,189,2,-1,0,unknown,no
310,no,0,yes,no,unknown,5,may,105,2,-1,0,unknown,no
311,no,353,yes,no,unknown,5,may,106,2,-1,0,unknown,no
312,no,851,yes,no,unknown,5,may,108,2,-1,0,unknown,no
313,no,96,yes,yes,unknown,5,may,311,2,-1,0,unknown,no
314,no,398,yes,yes,unknown,5,may,214,2,-1,0,unknown,no
315,no,193,no,no,unknown,5,may,132,2,-1,0,unknown,no
316,no,-358,yes,no,unknown,5,may,358,2,-1,0,unknown,no
317,no,539,yes,yes,unknown,5,may,453,2,-1,0,unknown,no
318,no,0,yes,no,unknown,5,may,364,2,-1,0,unknown,no
319,no,0,no,no,unknown,5,may,136,2,-1,0,unknown,no
320,no,490,yes,no,unknown,5,may,386,2,-1,0,unknown,no
321,no,0,yes,no,unknown,5,may,173,2,-1,0,unknown,no
322,no,403,yes,no,unknown,5,may,241,2,-1,0,unknown,no
323,no,161,yes,no,unknown,5,may,224,3,-1,0,unknown,no
324,no,2558,no,no,unknown,5,may,148,2,-1,0,unknown,no
325,no,98,yes,no,unknown,5,may,196,2,-1,0,unknown,no
326,no,115,no,no,unknown,5,may,111,4,-1,0,unknown,no
327,no,436,yes,no,unknown,5,may,231,3,-1,0,unknown,no
328,no,831,yes,no,unknown,5,may,316,3,-1,0,unknown,no
329,no,206,yes,no,unknown,5,may,216,3,-1,0,unknown,no
330,no,290,yes,no,unknown,5,may,240,2,-1,0,unknown,no
331,no,1,no,no,unknown,5,may,669,3,-1,0,unknown,no
332,no,57,yes,no,unknown,5,may,425,2,-1,0,unknown,no
333,no,-457,yes,no,unknown,5,may,143,2,-1,0,unknown,no
334,no,1387,yes,no,unknown,5,may,174,5,-1,0,unknown,no
335,no,24598,yes,no,unknown,5,may,313,3,-1,0,unknown,no
336,no,30,yes,no,unknown,5,may,135,4,-1,0,unknown,no
337,no,1022,yes,no,unknown,5,may,146,2,-1,0,unknown,no
338,no,56,yes,yes,unknown,5,may,152,2,-1,0,unknown,no
339,yes,-2,no,no,unknown,5,may,402,3,-1,0,unknown,no
340,no,121,yes,no,unknown,5,may,213,2,-1,0,unknown,no
341,no,842,yes,no,unknown,5,may,144,3,-1,0,unknown,no
342,no,693,yes,no,unknown,5,may,124,3,-1,0,unknown,no
343,no,-333,yes,no,unknown,5,may,183,2,-1,0,unknown,no
344,no,1533,yes,no,unknown,5,may,325,2,-1,0,unknown,no
345,no,46,yes,no,unknown,5,may,39,4,-1,0,unknown,no
346,no,18,no,no,unknown,5,may,503,2,-1,0,unknown,no
347,no,44,yes,no,unknown,5,may,95,4,-1,0,unknown,no
348,no,-100,yes,no,unknown,5,may,680,2,-1,0,unknown,no
349,no,510,yes,no,unknown,5,may,421,4,-1,0,unknown,no
350,no,685,yes,no,unknown,5,may,174,3,-1,0,unknown,no
351,no,187,yes,no,unknown,5,may,113,2,-1,0,unknown,no
352,no,66,yes,no,unknown,5,may,808,2,-1,0,unknown,no
353,no,560,yes,no,unknown,5,may,198,3,-1,0,unknown,no
354,no,0,yes,no,unknown,5,may,195,2,-1,0,unknown,no
355,no,27,no,no,unknown,5,may,347,3,-1,0,unknown,no
356,no,12,yes,no,unknown,5,may,208,2,-1,0,unknown,no
357,no,34,yes,no,unknown,5,may,404,4,-1,0,unknown,no
358,no,1068,yes,no,unknown,5,may,396,2,-1,0,unknown,no
359,no,211,yes,no,unknown,5,may,216,4,-1,0,unknown,no
360,no,377,yes,no,unknown,5,may,98,2,-1,0,unknown,no
361,no,263,yes,no,unknown,5,may,350,2,-1,0,unknown,no
362,no,1263,yes,no,unknown,6,may,114,2,-1,0,unknown,no
363,no,8,yes,no,unknown,6,may,88,3,-1,0,unknown,no
364,no,126,yes,yes,unknown,6,may,379,2,-1,0,unknown,no
365,no,230,yes,no,unknown,6,may,190,3,-1,0,unknown,no
366,no,841,yes,no,unknown,6,may,158,1,-1,0,unknown,no
367,no,308,yes,no,unknown,6,may,102,1,-1,0,unknown,no
368,no,1,yes,no,unknown,6,may,306,1,-1,0,unknown,no
369,no,86,yes,no,unknown,6,may,218,1,-1,0,unknown,no
370,no,157,yes,no,unknown,6,may,54,1,-1,0,unknown,no
371,no,22,yes,no,unknown,6,may,344,1,-1,0,unknown,no
372,no,46,yes,yes,unknown,6,may,195,1,-1,0,unknown,no
373,no,1293,no,no,unknown,6,may,652,1,-1,0,unknown,no
374,no,122,yes,no,unknown,6,may,286,1,-1,0,unknown,no
375,no,131,yes,no,unknown,6,may,189,1,-1,0,unknown,no
376,no,143,yes,no,unknown,6,may,83,1,-1,0,unknown,no
377,no,393,no,no,unknown,6,may,184,2,-1,0,unknown,no
378,no,98,yes,no,unknown,6,may,235,1,-1,0,unknown,no
379,no,0,yes,no,unknown,6,may,290,1,-1,0,unknown,no
380,no,224,yes,no,unknown,6,may,232,1,-1,0,unknown,no
381,no,757,yes,no,unknown,6,may,133,1,-1,0,unknown,no
382,no,245,yes,yes,unknown,6,may,318,1,-1,0,unknown,no
383,no,8486,no,no,unknown,6,may,260,3,-1,0,unknown,no
384,no,350,no,no,unknown,6,may,437,1,-1,0,unknown,no
385,no,20,yes,no,unknown,6,may,402,1,-1,0,unknown,no
386,no,1667,yes,yes,unknown,6,may,85,1,-1,0,unknown,no
387,no,345,yes,no,unknown,6,may,125,1,-1,0,unknown,no
388,no,10,yes,no,unknown,6,may,501,4,-1,0,unknown,no
389,no,830,yes,yes,unknown,6,may,1201,1,-1,0,unknown,yes
390,no,29,yes,no,unknown,6,may,253,1,-1,0,unknown,no
391,no,545,yes,no,unknown,6,may,1030,1,-1,0,unknown,yes
392,no,8730,yes,no,unknown,6,may,149,1,-1,0,unknown,no
393,no,477,yes,no,unknown,6,may,114,1,-1,0,unknown,no
394,no,4,yes,no,unknown,6,may,243,1,-1,0,unknown,no
395,no,1205,yes,no,unknown,6,may,769,2,-1,0,unknown,no
396,no,0,yes,yes,unknown,6,may,135,3,-1,0,unknown,no
397,no,263,yes,no,unknown,6,may,231,1,-1,0,unknown,no
398,no,1,no,no,unknown,6,may,76,1,-1,0,unknown,no
399,no,283,no,yes,unknown,6,may,199,1,-1,0,unknown,no
400,no,206,yes,no,unknown,6,may,152,1,-1,0,unknown,no
401,no,17,yes,no,unknown,6,may,124,1,-1,0,unknown,no
402,no,141,yes,yes,unknown,6,may,424,1,-1,0,unknown,no
403,no,16,yes,no,unknown,6,may,43,1,-1,0,unknown,no
404,no,206,yes,no,unknown,6,may,154,1,-1,0,unknown,no
405,no,7,no,no,unknown,6,may,203,2,-1,0,unknown,no
406,no,0,no,no,unknown,6,may,326,1,-1,0,unknown,no
