id,age,job,marital,education
166,26,admin.,single,secondary
167,52,management,married,tertiary
168,54,technician,married,secondary
169,54,admin.,married,tertiary
170,50,blue-collar,married,primary
171,35,blue-collar,married,secondary
172,44,services,married,secondary
173,53,entrepreneur,married,unknown
174,35,retired,single,primary
175,60,admin.,divorced,secondary
176,53,admin.,divorced,secondary
177,48,unemployed,married,secondary
178,34,technician,married,secondary
179,54,services,married,secondary
180,51,management,married,secondary
181,31,services,married,tertiary
182,35,technician,divorced,secondary
183,35,services,married,secondary
184,38,technician,married,secondary
185,36,admin.,married,tertiary
186,58,retired,married,primary
187,40,services,divorced,unknown
188,54,management,married,secondary
189,34,blue-collar,single,secondary
190,31,management,single,tertiary
191,51,retired,married,secondary
192,33,management,married,tertiary
193,55,management,married,tertiary
194,42,admin.,married,secondary
195,34,blue-collar,married,secondary
196,33,blue-collar,single,secondary
197,38,services,married,secondary
198,50,technician,divorced,tertiary
199,43,management,married,tertiary
200,61,blue-collar,divorced,primary
201,47,admin.,married,secondary
202,48,self-employed,married,tertiary
203,44,blue-collar,married,secondary
204,35,student,single,unknown
205,35,services,married,secondary
206,50,services,married,secondary
207,41,management,married,tertiary
208,41,management,married,tertiary
209,39,services,single,unknown
210,42,retired,married,secondary
211,38,blue-collar,married,secondary
212,53,retired,married,secondary
213,59,housemaid,divorced,primary
214,36,services,married,secondary
215,54,blue-collar,married,primary
216,40,technician,married,tertiary
217,47,unknown,married,unknown
218,53,unemployed,married,unknown
219,46,housemaid,married,primary
220,39,management,married,tertiary
221,40,unemployed,married,secondary
222,28,blue-collar,married,primary
223,35,entrepreneur,divorced,secondary
224,55,retired,married,secondary
225,43,technician,divorced,unknown
226,48,blue-collar,married,primary
227,58,management,married,unknown
228,33,management,single,tertiary
229,36,blue-collar,married,unknown
230,53,services,divorced,secondary
231,47,blue-collar,married,primary
232,31,services,married,secondary
233,57,entrepreneur,married,secondary
234,53,blue-collar,married,unknown
235,55,blue-collar,married,primary
236,45,blue-collar,married,primary
237,53,admin.,divorced,secondary
238,37,blue-collar,married,primary
239,44,admin.,divorced,secondary
240,49,blue-collar,divorced,primary
241,46,technician,married,secondary
242,43,entrepreneur,married,unknown
243,38,admin.,married,secondary
244,43,technician,married,secondary
245,49,management,married,tertiary
246,42,management,married,unknown
247,22,blue-collar,single,secondary
248,40,management,married,tertiary
249,39,blue-collar,married,secondary
250,51,services,married,secondary
251,49,admin.,married,secondary
252,53,blue-collar,married,secondary
253,34,services,single,secondary
254,33,technician,divorced,secondary
255,50,management,single,tertiary
256,39,blue-collar,married,primary
257,59,entrepreneur,divorced,secondary
258,30,technician,single,secondary
259,36,services,married,secondary
260,40,blue-collar,married,secondary
261,53,blue-collar,married,secondary
262,34,management,single,tertiary
263,37,technician,married,secondary
264,42,management,divorced,tertiary
265,41,entrepreneur,married,primary
266,30,student,single,tertiary
267,37,management,single,tertiary
268,39,admin.,divorced,secondary
269,41,blue-collar,married,primary
270,40,blue-collar,married,primary
271,42,management,single,tertiary
272,40,blue-collar,divorced,primary
273,57,technician,married,secondary
274,56,entrepreneur,divorced,secondary
275,37,admin.,married,secondary
276,59,retired,married,secondary
277,39,services,divorced,secondary
278,49,services,married,secondary
279,38,services,single,secondary
280,36,self-employed,married,tertiary
281,50,blue-collar,married,primary
282,41,admin.,married,secondary
283,54,technician,married,tertiary
284,58,blue-collar,married,primary
285,30,blue-collar,single,secondary
286,33,admin.,single,secondary
287,47,admin.,married,secondary
288,50,technician,single,tertiary
289,32,blue-collar,married,secondary
290,40,self-employed,married,secondary
291,37,management,married,tertiary
292,54,technician,single,unknown
293,24,student,single,secondary
294,54,management,married,tertiary
295,34,technician,married,secondary
296,56,technician,divorced,primary
297,31,blue-collar,single,secondary
298,24,student,single,secondary
299,42,blue-collar,divorced,primary
300,57,technician,married,secondary
301,42,blue-collar,married,unknown
302,51,admin.,married,secondary
303,57,retired,married,secondary
304,36,services,single,secondary
305,53,services,married,unknown
306,50,technician,married,secondary
307,54,management,married,tertiary
308,55,blue-collar,married,secondary
309,44,blue-collar,married,secondary
310,43,management,married,unknown
311,56,admin.,married,secondary
312,54,technician,married,unknown
313,55,services,divorced,primary
314,37,services,divorced,secondary
315,33,admin.,single,tertiary
316,46,admin.,married,secondary
317,36,blue-collar,married,secondary
318,51,technician,single,secondary
319,40,retired,single,primary
320,42,blue-collar,married,secondary
321,51,blue-collar,married,secondary
322,49,blue-collar,married,unknown
323,48,management,married,secondary
324,32,technician,divorced,tertiary
325,31,admin.,single,secondary
326,55,management,single,tertiary
327,40,blue-collar,single,secondary
328,47,technician,married,tertiary
329,57,technician,married,unknown
330,41,blue-collar,married,secondary
331,48,blue-collar,married,secondary
332,42,blue-collar,married,unknown
333,30,blue-collar,single,secondary
334,58,management,single,tertiary
335,45,management,divorced,tertiary
336,49,blue-collar,married,secondary
337,42,admin.,single,secondary
338,53,technician,married,secondary
339,51,admin.,single,secondary
340,32,services,single,secondary
341,41,blue-collar,single,secondary
342,43,management,divorced,secondary
343,40,blue-collar,divorced,secondary
344,50,blue-collar,married,primary
345,34,management,married,tertiary
346,53,services,married,unknown
347,45,technician,married,secondary
348,39,blue-collar,married,primary
349,44,services,married,tertiary
350,55,management,married,tertiary
351,46,management,single,tertiary
352,45,blue-collar,married,secondary
353,34,admin.,married,secondary
354,36,blue-collar,married,secondary
355,59,unknown,divorced,unknown
356,31,admin.,single,secondary
357,44,blue-collar,single,secondary
358,33,entrepreneur,single,tertiary
359,40,blue-collar,married,secondary
360,46,admin.,single,tertiary
361,48,management,married,tertiary
362,42,services,married,secondary
363,27,services,married,secondary
364,48,admin.,married,secondary
365,59,admin.,married,secondary
366,46,technician,married,tertiary
367,38,admin.,divorced,secondary
368,43,management,divorced,tertiary
369,38,admin.,divorced,tertiary
370,23,student,single,secondary
371,34,services,married,secondary
372,38,admin.,married,secondary
373,37,blue-collar,married,secondary
374,25,admin.,single,secondary
375,48,blue-collar,married,unknown
376,49,blue-collar,single,secondary
377,38,admin.,single,secondary
378,43,blue-collar,married,primary
379,33,management,married,tertiary
380,55,blue-collar,married,secondary
381,38,blue-collar,married,secondary
382,49,services,married,secondary
383,40,management,married,secondary
384,43,admin.,married,unknown
385,38,blue-collar,married,secondary
386,58,services,married,secondary
387,57,technician,married,unknown
388,32,unemployed,married,secondary
389,56,management,married,tertiary
390,58,blue-collar,divorced,unknown
391,60,retired,divorced,secondary
392,37,technician,married,tertiary
393,46,technician,divorced,tertiary
394,27,admin.,married,secondary
395,43,blue-collar,married,secondary
396,32,technician,single,secondary
397,40,admin.,single,secondary
398,38,admin.,married,secondary
399,34,blue-collar,married,secondary
400,47,blue-collar,married,primary
401,42,housemaid,married,primary
402,48,technician,married,secondary
403,29,self-employed,single,tertiary
404,50,services,married,secondary
405,52,technician,married,unknown
406,50,management,married,tertiary
407,58,retired,married,tertiary
408,46,blue-collar,divorced,primary
409,38,technician,married,secondary
410,46,blue-collar,married,secondary
411,32,services,single,secondary
412,51,blue-collar,married,primary
413,39,admin.,single,secondary
414,48,admin.,married,secondary
415,36,entrepreneur,married,tertiary
416,34,admin.,divorced,secondary
417,40,technician,married,secondary
418,43,unemployed,married,secondary
419,52,blue-collar,divorced,primary
420,33,technician,married,secondary
421,49,management,single,tertiary
422,32,management,single,tertiary
423,39,admin.,single,secondary
424,40,blue-collar,married,secondary
425,38,technician,single,tertiary
426,43,management,married,secondary
427,39,services,married,secondary
428,54,blue-collar,married,primary
429,38,technician,single,tertiary
430,40,blue-collar,married,secondary
431,55,admin.,married,secondary
432,42,management,married,tertiary
433,39,blue-collar,married,secondary
434,40,blue-collar,married,primary
435,32,blue-collar,married,secondary
436,55,admin.,married,secondary
437,45,blue-collar,married,secondary
438,35,management,single,tertiary
439,58,technician,divorced,secondary
440,35,admin.,married,secondary
441,49,services,married,primary
442,34,technician,single,tertiary
443,36,blue-collar,married,secondary
444,24,self-employed,single,secondary
445,34,technician,married,secondary
446,51,admin.,divorced,secondary
447,39,technician,single,unknown
448,50,self-employed,married,unknown
449,32,services,single,secondary
450,42,blue-collar,married,unknown
451,50,technician,married,secondary
452,40,services,married,secondary
453,46,management,divorced,unknown
454,37,management,married,tertiary
455,34,blue-collar,married,secondary
456,44,blue-collar,married,secondary
457,40,admin.,single,secondary
458,37,technician,married,secondary
459,33,blue-collar,single,secondary
460,35,blue-collar,married,secondary
461,58,blue-collar,divorced,secondary
462,39,blue-collar,married,primary
463,43,blue-collar,married,secondary
464,39,unemployed,married,primary
465,36,services,single,primary
466,57,retired,single,secondary
467,36,admin.,single,secondary
468,50,blue-collar,married,primary
469,55,blue-collar,married,secondary
470,44,self-employed,married,tertiary
471,44,services,divorced,secondary
472,39,housemaid,single,primary
473,46,blue-collar,married,unknown
474,39,blue-collar,married,secondary
475,34,admin.,married,secondary
476,40,blue-collar,married,primary
477,50,management,married,tertiary
478,31,management,single,secondary
479,37,admin.,single,secondary
480,39,management,single,secondary
481,51,blue-collar,married,primary
482,41,technician,married,secondary
483,41,technician,married,secondary
484,43,blue-collar,married,secondary
485,30,services,single,secondary
486,54,management,divorced,primary
487,43,blue-collar,divorced,secondary
488,59,management,divorced,tertiary
489,47,technician,married,unknown
490,40,blue-collar,married,primary
491,32,technician,married,secondary
492,29,blue-collar,married,secondary
493,36,blue-collar,married,secondary
494,55,unemployed,married,tertiary
495,30,blue-collar,divorced,secondary
496,39,admin.,single,secondary
497,39,blue-collar,divorced,secondary
498,50,blue-collar,divorced,secondary
499,44,blue-collar,married,secondary
500,37,technician,single,secondary
501,46,admin.,married,primary
502,32,technician,single,unknown
503,37,management,single,tertiary
504,29,blue-collar,married,secondary
505,41,blue-collar,married,secondary
506,45,blue-collar,married,primary
507,57,retired,divorced,secondary
508,48,blue-collar,single,secondary
509,60,retired,married,secondary
510,26,admin.,single,secondary
511,58,retired,married,secondary
512,34,admin.,married,secondary
513,55,unemployed,divorced,secondary
514,41,blue-collar,married,primary
515,50,management,divorced,secondary
516,49,entrepreneur,married,secondary
517,44,admin.,married,unknown
518,44,blue-collar,married,primary
519,31,technician,married,secondary
520,34,blue-collar,single,tertiary
521,46,management,single,unknown
522,42,management,married,tertiary
523,52,admin.,married,secondary
524,29,management,single,tertiary
525,53,retired,married,primary
526,43,blue-collar,married,secondary
527,38,management,married,secondary
528,46,management,married,tertiary
529,48,management,divorced,unknown
530,30,admin.,divorced,secondary
531,44,blue-collar,married,primary
532,31,housemaid,married,primary
533,42,services,single,secondary
534,40,management,single,tertiary
535,52,admin.,married,secondary
536,45,blue-collar,divorced,secondary
537,48,blue-collar,married,secondary
538,45,blue-collar,married,primary
539,34,blue-collar,married,unknown
540,34,blue-collar,married,primary
541,46,blue-collar,married,secondary
542,49,services,divorced,secondary
543,50,technician,married,primary
544,34,admin.,single,secondary
545,40,unemployed,single,secondary
546,36,admin.,married,secondary
547,59,blue-collar,divorced,unknown
548,45,blue-collar,married,secondary
549,36,self-employed,married,tertiary
550,56,services,married,secondary
551,42,services,divorced,secondary
552,30,admin.,married,secondary
553,30,student,single,tertiary
554,47,self-employed,married,unknown
555,33,blue-collar,married,secondary
556,36,admin.,married,secondary
557,39,services,divorced,primary
558,56,admin.,divorced,secondary
559,39,blue-collar,divorced,unknown
560,42,technician,married,secondary
561,52,blue-collar,married,secondary
562,36,admin.,divorced,secondary
563,35,entrepreneur,married,secondary
564,47,technician,married,secondary
565,59,services,divorced,secondary
566,57,blue-collar,married,primary
567,38,management,married,unknown
568,46,unemployed,married,secondary
569,34,blue-collar,married,secondary
570,28,services,single,secondary
571,38,technician,married,unknown
572,56,blue-collar,married,secondary
573,41,blue-collar,single,primary
574,52,technician,married,unknown
575,54,services,married,secondary
576,61,retired,married,secondary
577,53,entrepreneur,married,secondary
578,47,technician,married,secondary
579,53,blue-collar,married,primary
580,46,services,married,secondary
581,39,blue-collar,divorced,primary
582,56,technician,divorced,secondary
583,55,services,divorced,primary
584,44,management,married,tertiary
585,37,technician,married,primary
586,35,blue-collar,married,primary
587,55,blue-collar,married,secondary
588,37,services,married,secondary
589,30,technician,single,secondary
590,37,blue-collar,married,primary
591,36,technician,single,secondary
592,38,technician,married,secondary
593,41,admin.,divorced,primary
594,48,retired,married,secondary
595,55,services,divorced,secondary
596,28,services,divorced,secondary
597,54,services,married,secondary
598,30,blue-collar,married,secondary
599,48,technician,married,tertiary
600,31,self-employed,married,secondary
601,38,blue-collar,married,secondary
602,37,blue-collar,married,secondary
603,37,services,single,unknown
604,56,blue-collar,married,primary
605,51,blue-collar,married,secondary
606,39,blue-collar,married,secondary
607,49,technician,married,unknown
608,51,blue-collar,married,primary
609,43,self-employed,married,secondary
610,32,services,married,secondary
611,29,technician,single,tertiary
612,48,management,divorced,tertiary
613,55,services,married,primary
614,53,blue-collar,married,secondary
615,47,technician,married,unknown
616,39,management,married,tertiary
617,31,blue-collar,single,tertiary
618,39,blue-collar,married,primary
619,40,blue-collar,married,primary
620,40,technician,single,unknown
621,48,technician,married,secondary
622,33,technician,divorced,secondary
623,40,technician,married,secondary
624,59,retired,married,primary
625,30,technician,married,secondary
626,31,management,single,tertiary
627,35,unemployed,married,secondary
628,54,technician,divorced,secondary
629,34,admin.,single,unknown
630,32,technician,married,secondary
631,56,admin.,divorced,unknown
632,32,admin.,single,tertiary
633,42,blue-collar,married,primary
634,33,services,married,tertiary
635,52,entrepreneur,married,tertiary
636,52,services,married,secondary
637,52,blue-collar,divorced,primary
638,30,unemployed,divorced,secondary
639,44,services,divorced,secondary
640,35,admin.,married,secondary
641,55,management,single,secondary
642,33,blue-collar,married,primary
643,37,blue-collar,single,secondary
644,42,technician,single,secondary
645,43,unemployed,married,secondary
646,38,entrepreneur,married,tertiary
647,37,technician,married,secondary
648,31,student,single,secondary
649,41,management,married,tertiary
650,41,technician,married,secondary
651,29,student,single,secondary
652,38,admin.,single,secondary
653,44,self-employed,divorced,tertiary
654,39,admin.,married,secondary
655,28,technician,single,secondary
656,33,blue-collar,married,secondary
657,41,services,married,unknown
658,40,blue-collar,married,primary
659,29,admin.,married,secondary
660,38,management,married,unknown
661,32,admin.,married,tertiary
662,45,services,married,secondary
663,33,admin.,single,secondary
664,34,blue-collar,married,secondary
665,41,entrepreneur,married,unknown
666,41,blue-collar,married,secondary
667,35,admin.,single,secondary
668,40,technician,single,secondary
669,60,self-employed,married,primary
670,47,services,divorced,secondary
671,46,blue-collar,married,primary
672,31,blue-collar,single,secondary
673,49,self-employed,married,secondary
674,29,blue-collar,married,secondary
675,31,management,single,tertiary
676,38,management,married,tertiary
677,37,blue-collar,married,primary
678,35,technician,married,secondary
679,31,management,single,secondary
680,41,admin.,married,secondary
681,46,services,married,unknown
682,40,services,divorced,secondary
683,29,admin.,married,secondary
684,49,admin.,married,secondary
685,42,management,married,tertiary
686,54,services,married,secondary
687,40,management,single,tertiary
688,53,admin.,married,secondary
689,49,management,married,tertiary
690,40,blue-collar,married,primary
691,29,student,single,secondary
692,36,blue-collar,married,primary
693,37,technician,married,secondary
694,39,services,married,secondary
695,36,technician,married,secondary
696,44,entrepreneur,married,tertiary
697,40,admin.,married,secondary
698,49,blue-collar,married,secondary
699,30,technician,single,unknown
700,57,management,married,tertiary
701,24,services,single,secondary
702,46,blue-collar,married,unknown
703,33,admin.,married,secondary
704,43,services,divorced,secondary
705,43,admin.,single,secondary
706,40,blue-collar,divorced,primary
707,44,technician,single,unknown
708,35,technician,single,tertiary
709,47,technician,married,secondary
710,33,blue-collar,married,secondary
711,31,admin.,married,secondary
712,40,blue-collar,divorced,secondary
713,36,entrepreneur,married,tertiary
714,56,retired,divorced,primary
715,40,admin.,single,unknown
716,41,admin.,divorced,secondary
717,53,retired,married,secondary
718,39,blue-collar,married,secondary
719,44,blue-collar,divorced,secondary
720,38,admin.,married,secondary
721,54,technician,divorced,secondary
722,58,management,married,tertiary
723,52,blue-collar,married,primary
724,28,admin.,single,secondary
725,36,blue-collar,married,secondary
726,60,retired,married,primary
727,42,services,divorced,secondary
728,42,admin.,married,secondary
729,44,management,married,tertiary
730,51,blue-collar,divorced,primary
731,49,blue-collar,married,primary
732,47,entrepreneur,married,unknown
733,37,blue-collar,married,secondary
734,34,management,married,tertiary
735,35,services,married,secondary
736,35,blue-collar,single,secondary
737,40,blue-collar,married,primary
738,55,technician,married,secondary
739,55,retired,married,secondary
740,35,management,single,tertiary
741,57,blue-collar,married,primary
742,53,management,married,tertiary
743,41,blue-collar,married,primary
744,57,blue-collar,married,unknown
745,45,blue-collar,married,unknown
746,43,blue-collar,married,primary
747,56,self-employed,married,unknown
748,31,entrepreneur,married,tertiary
749,37,blue-collar,single,secondary
750,30,management,married,tertiary
751,30,admin.,single,secondary
752,54,blue-collar,married,secondary
753,36,management,married,tertiary
754,55,unemployed,married,tertiary
755,37,admin.,single,secondary
756,38,housemaid,married,secondary
757,48,admin.,married,secondary
758,55,housemaid,divorced,tertiary
759,59,services,married,secondary
760,37,technician,married,secondary
761,33,blue-collar,divorced,secondary
762,44,blue-collar,married,primary
763,57,technician,married,secondary
764,30,self-employed,single,tertiary
765,42,technician,married,tertiary
766,51,blue-collar,divorced,secondary
767,44,admin.,divorced,secondary
768,46,technician,married,secondary
769,29,student,single,secondary
770,39,blue-collar,married,primary
771,42,services,married,secondary
772,50,blue-collar,married,primary
773,42,technician,single,secondary
774,39,admin.,married,secondary
775,55,technician,single,tertiary
776,46,services,married,secondary
777,42,blue-collar,married,secondary
778,45,management,married,tertiary
779,43,blue-collar,married,primary
780,42,admin.,married,secondary
781,30,admin.,married,secondary
782,47,blue-collar,married,secondary
783,51,services,divorced,secondary
784,38,technician,single,secondary
785,57,technician,married,unknown
786,42,management,divorced,tertiary
787,32,technician,divorced,secondary
788,46,management,married,tertiary
789,29,student,single,tertiary
790,59,retired,married,secondary
791,32,blue-collar,single,secondary
792,44,blue-collar,married,primary
793,40,retired,married,primary
794,31,blue-collar,single,secondary
795,46,self-employed,married,tertiary
796,43,management,married,tertiary
797,34,services,married,secondary
798,39,management,married,tertiary
799,30,blue-collar,divorced,secondary
800,56,retired,married,secondary
801,29,technician,married,secondary
802,40,blue-collar,divorced,secondary
803,36,services,married,secondary
804,37,blue-collar,single,secondary
805,35,admin.,married,secondary
806,35,blue-collar,married,primary
807,47,services,married,primary
808,31,services,married,secondary
809,56,retired,single,primary
810,57,technician,married,secondary
811,36,blue-collar,married,secondary
812,45,self-employed,divorced,secondary
813,47,blue-collar,married,unknown
814,29,technician,single,tertiary
815,57,services,married,secondary
816,45,blue-collar,married,primary
817,31,blue-collar,single,primary
818,31,management,divorced,tertiary
819,37,technician,single,tertiary
820,30,technician,single,tertiary
821,58,services,divorced,secondary
822,33,services,married,secondary
823,39,blue-collar,married,primary
824,33,blue-collar,single,primary
825,34,services,married,secondary
826,36,services,divorced,secondary
827,37,services,single,secondary
828,35,blue-collar,married,secondary
829,55,retired,married,secondary
830,34,management,single,tertiary
831,40,management,divorced,tertiary
832,42,blue-collar,single,primary
833,37,blue-collar,married,secondary
834,42,management,married,tertiary
835,35,technician,single,secondary
836,44,technician,divorced,secondary
837,30,services,single,secondary
838,45,entrepreneur,married,secondary
839,35,blue-collar,single,unknown
840,36,admin.,divorced,secondary
841,49,blue-collar,married,secondary
842,31,blue-collar,single,secondary
843,31,technician,single,secondary
844,39,blue-collar,married,secondary
845,37,services,single,secondary
846,33,blue-collar,married,primary
847,37,management,married,tertiary
848,42,services,married,secondary
849,56,blue-collar,married,secondary
850,37,admin.,single,secondary
851,36,services,single,secondary
852,29,technician,single,tertiary
853,54,management,married,tertiary
854,38,blue-collar,married,secondary
855,43,blue-collar,divorced,secondary
856,47,admin.,single,secondary
857,47,blue-collar,married,secondary
858,38,services,married,secondary
859,40,blue-collar,married,secondary
860,33,services,divorced,secondary
861,33,retired,married,secondary
862,53,admin.,divorced,unknown
863,37,services,married,primary
864,40,management,single,tertiary
865,37,blue-collar,married,primary
866,35,technician,married,secondary
867,49,blue-collar,married,primary
868,26,blue-collar,single,secondary
869,38,management,single,tertiary
870,52,self-employed,married,secondary
871,33,services,divorced,secondary
872,31,admin.,single,secondary
873,32,blue-collar,married,secondary
874,35,blue-collar,single,primary
875,55,management,divorced,tertiary
876,32,blue-collar,divorced,primary
877,37,unknown,single,unknown
878,45,blue-collar,married,secondary
879,31,technician,married,secondary
880,38,admin.,married,secondary
881,37,services,married,secondary
882,38,blue-collar,married,secondary
883,33,housemaid,married,tertiary
884,38,blue-collar,married,primary
885,37,management,single,tertiary
886,29,unemployed,married,tertiary
887,42,management,married,tertiary
888,40,blue-collar,married,secondary
889,32,management,married,tertiary
890,47,management,divorced,tertiary
891,29,student,single,secondary
892,53,services,divorced,primary
893,31,services,married,tertiary
894,59,blue-collar,married,secondary
895,29,entrepreneur,married,primary
896,59,blue-collar,married,primary
897,44,blue-collar,married,primary
898,38,admin.,single,secondary
899,49,admin.,married,secondary
900,43,blue-collar,married,secondary
901,52,admin.,single,secondary
902,40,admin.,married,secondary
903,32,services,married,secondary
904,47,admin.,married,primary
905,33,management,married,tertiary
906,35,management,married,tertiary
907,27,services,single,secondary
908,50,blue-collar,married,primary
909,44,retired,married,secondary
910,43,self-employed,married,primary
911,51,blue-collar,married,unknown
912,32,admin.,single,secondary
913,47,management,divorced,tertiary
914,34,admin.,divorced,secondary
915,57,self-employed,married,primary
916,43,admin.,single,secondary
917,40,services,single,tertiary
918,28,blue-collar,single,secondary
919,38,blue-collar,married,unknown
920,37,unemployed,divorced,secondary
921,44,admin.,married,secondary
922,41,technician,married,secondary
923,37,self-employed,married,tertiary
924,30,services,single,tertiary
925,32,blue-collar,married,secondary
926,30,management,single,tertiary
927,35,services,married,secondary
928,55,blue-collar,married,secondary
929,52,blue-collar,married,secondary
930,33,admin.,married,secondary
931,55,retired,married,primary
932,33,blue-collar,married,secondary
933,40,blue-collar,married,secondary
934,39,blue-collar,married,secondary
935,54,blue-collar,married,secondary
936,39,blue-collar,married,primary
937,49,blue-collar,married,secondary
938,52,admin.,married,secondary
939,27,management,single,tertiary
940,26,services,married,secondary
941,40,blue-collar,married,secondary
942,47,blue-collar,married,secondary
943,31,services,single,secondary
944,53,blue-collar,single,secondary
945,31,services,married,secondary
946,33,admin.,married,secondary
947,35,services,married,secondary
948,46,entrepreneur,married,unknown
949,31,management,married,secondary
950,35,technician,single,secondary
951,29,management,married,secondary
952,51,technician,married,secondary
953,33,blue-collar,married,primary
954,37,management,married,tertiary
955,43,admin.,single,unknown
956,42,technician,married,tertiary
957,28,blue-collar,married,secondary
958,57,retired,married,secondary
959,38,services,married,secondary
960,39,blue-collar,married,primary
961,36,technician,married,tertiary
962,57,retired,married,tertiary
963,44,management,married,unknown
964,48,services,divorced,secondary
965,46,blue-collar,married,primary
966,43,admin.,married,secondary
967,49,services,married,secondary
968,29,services,single,secondary
969,53,blue-collar,married,secondary
970,30,services,single,secondary
971,41,management,divorced,secondary
972,33,technician,married,secondary
973,47,blue-collar,married,primary
974,58,retired,married,secondary
975,31,unemployed,married,secondary
976,38,admin.,single,secondary
977,60,retired,married,secondary
978,33,management,single,tertiary
979,33,unemployed,single,tertiary
